,cust_number,buisness_year,doc_id,document_create_date.1,converted_usd,business_code_enc,day_of_postingdate,month_of_postingdate,year_of_postingdate,day_of_due,month_of_due,year_of_due,day_of_createdate,month_of_createdate,year_of_createdate,cust_payment_terms_enc,name_customer_enc,due_in_date,clear_date,Aging Bucket
0,140105686,2020.0,2960623488.0,2020-03-30 00:00:00.000000000,2309.7899999999995,65,30,3,2020,10,4,2020,31,3,2020,5,2697,10-4-2020,2020-10-04 00:00:00.000000001,0-15days
1,200744019,2020.0,1930659387.0,2020-03-19 00:00:00.000000000,11173.02,65,19,3,2020,3,4,2020,19,3,2020,21,2784,3-4-2020,2020-03-04 00:00:00.000000019,16-30days
2,200418007,2020.0,1930610806.0,2020-03-11 00:00:00.000000000,3525.59,65,11,3,2020,26,3,2020,11,3,2020,21,89,26-3-2020,2020-03-25 23:59:59.999999998,0-15days
3,200739534,2020.0,1930788296.0,2020-04-15 00:00:00.000000000,121105.65,65,15,4,2020,30,4,2020,15,4,2020,21,2008,30-4-2020,2020-04-30 00:00:00.000000003,0-15days
4,200353024,2020.0,1930817482.0,2020-04-23 00:00:00.000000000,3726.06,65,23,4,2020,26,4,2020,16,4,2020,36,709,26-4-2020,2020-04-25 23:59:59.999999993,0-15days
5,200744019,2020.0,1930676042.0,2020-03-21 00:00:00.000000000,5893.01,65,21,3,2020,5,4,2020,21,3,2020,21,2775,5-4-2020,2020-05-04 00:00:00.000000010,0-15days
6,140106408,2020.0,2960618790.0,2020-03-06 00:00:00.000000000,64982.589,65,6,3,2020,16,3,2020,6,3,2020,5,2968,16-3-2020,2020-03-16 00:00:00.000000008,0-15days
7,200337148,2020.0,1930592246.0,2020-03-02 00:00:00.000000000,11380.83,65,2,3,2020,17,3,2020,2,3,2020,21,543,17-3-2020,2020-03-17 00:00:00.000000001,0-15days
8,200794332,2020.0,1930731070.0,2020-04-07 00:00:00.000000000,3863.93,65,7,4,2020,22,4,2020,7,4,2020,23,605,22-4-2020,2020-04-22 00:00:00.000000000,0-15days
9,200794332,2020.0,1930803605.0,2020-04-23 00:00:00.000000000,74453.01,65,23,4,2020,8,5,2020,23,4,2020,23,611,8-5-2020,2020-08-04 23:59:59.999999999,0-15days
10,200803720,2020.0,1930698352.0,2020-03-25 00:00:00.000000000,138.6,65,25,3,2020,8,4,2020,16,3,2020,38,697,8-4-2020,2020-08-03 23:59:59.999999992,0-15days
11,200794332,2020.0,1930647189.0,2020-03-13 00:00:00.000000000,32715.47,65,13,3,2020,28,3,2020,13,3,2020,23,606,28-3-2020,2020-03-28 00:00:00.000000000,0-15days
12,200020431,2020.0,1930861637.0,2020-05-06 00:00:00.000000000,174.72,65,6,5,2020,24,5,2020,1,5,2020,38,704,24-5-2020,2020-05-23 23:59:59.999999993,0-15days
13,200769623,2020.0,1930635649.0,2020-03-12 00:00:00.000000000,767.78,65,12,3,2020,27,3,2020,12,3,2020,34,2977,27-3-2020,2020-03-26 23:59:59.999999999,0-15days
14,140105785,2020.0,2960624627.0,2020-03-27 00:00:00.000000000,1980.7199999999998,65,27,3,2020,10,4,2020,31,3,2020,5,2906,10-4-2020,2020-10-04 00:00:00.000000001,0-15days
15,200769623,2020.0,1930577078.0,2020-02-28 00:00:00.000000000,14514.68,65,28,2,2020,14,3,2020,28,2,2020,34,2976,14-3-2020,2020-03-13 23:59:59.999999995,0-15days
16,200769623,2020.0,1930774741.0,2020-04-10 00:00:00.000000000,55400.31,65,10,4,2020,25,4,2020,10,4,2020,34,2981,25-4-2020,2020-04-24 23:59:59.999999998,0-15days
17,200772670,2020.0,1930765053.0,2020-04-09 00:00:00.000000000,174766.36,65,9,4,2020,24,4,2020,9,4,2020,47,178,24-4-2020,2020-04-24 00:00:00.000000000,0-15days
18,200900909,2020.0,1930645969.0,2020-03-13 00:00:00.000000000,31512.75,65,13,3,2020,14,4,2020,13,3,2020,14,2750,14-4-2020,2020-04-14 00:00:00.000000006,0-15days
19,200769623,2020.0,1930718081.0,2020-03-30 00:00:00.000000000,19701.55,65,30,3,2020,14,4,2020,30,3,2020,34,2984,14-4-2020,2020-04-13 23:59:59.999999998,0-15days
20,200726979,2020.0,1930788667.0,2020-04-16 00:00:00.000000000,132.72,65,16,4,2020,1,5,2020,16,4,2020,21,318,1-5-2020,2020-01-05 00:00:00.000000002,0-15days
21,200769623,2020.0,1930709919.0,2020-03-29 00:00:00.000000000,1121.15,65,29,3,2020,13,4,2020,29,3,2020,34,2983,13-4-2020,2020-04-12 23:59:59.999999998,0-15days
22,200769623,2020.0,1930752568.0,2020-04-06 00:00:00.000000000,11394.84,65,6,4,2020,21,4,2020,6,4,2020,34,2983,21-4-2020,2020-04-20 23:59:59.999999998,0-15days
23,140105847,2020.0,2960627274.0,2020-04-08 00:00:00.000000000,2579.64,65,8,4,2020,18,4,2020,8,4,2020,5,1124,18-4-2020,2020-04-18 00:00:00.000000002,0-15days
24,200744019,2020.0,1930648342.0,2020-03-15 00:00:00.000000000,52123.3,65,15,3,2020,30,3,2020,15,3,2020,21,2779,30-3-2020,2020-03-30 00:00:00.000000019,16-30days
25,200769623,2020.0,1930632791.0,2020-03-10 00:00:00.000000000,14994.01,65,10,3,2020,25,3,2020,10,3,2020,34,2984,25-3-2020,2020-03-24 23:59:59.999999998,0-15days
26,200769623,2020.0,1930617194.0,2020-03-06 00:00:00.000000000,36.06,65,6,3,2020,21,3,2020,6,3,2020,34,2983,21-3-2020,2020-03-20 23:59:59.999999998,0-15days
27,200418007,2020.0,1930752243.0,2020-04-06 00:00:00.000000000,25836.19,65,6,4,2020,21,4,2020,6,4,2020,21,95,21-4-2020,2020-04-20 23:59:59.999999999,0-15days
28,200739006,2020.0,1930768064.0,2020-04-15 00:00:00.000000000,4309.05,65,15,4,2020,30,4,2020,15,4,2020,21,55,30-4-2020,2020-04-29 23:59:59.999999998,0-15days
29,100031704,2020.0,1930789873.0,2020-04-15 00:00:00.000000000,70181.07,65,15,4,2020,30,4,2020,15,4,2020,21,722,30-4-2020,2020-04-30 00:00:00.000000005,0-15days
30,200769623,2020.0,1930705172.0,2020-03-28 00:00:00.000000000,3403.8,65,28,3,2020,12,4,2020,28,3,2020,34,2985,12-4-2020,2020-12-03 23:59:59.999999998,0-15days
31,200744019,2020.0,1930620634.0,2020-03-10 00:00:00.000000000,10665.53,65,10,3,2020,14,5,2020,10,3,2020,33,2782,14-5-2020,2020-05-14 00:00:00.000000009,0-15days
32,200769623,2020.0,1930676002.0,2020-03-21 00:00:00.000000000,7280.51,65,21,3,2020,5,4,2020,21,3,2020,34,2976,5-4-2020,2020-05-03 23:59:59.999999998,0-15days
33,200726979,2020.0,1930585378.0,2020-03-02 00:00:00.000000000,13681.7,65,2,3,2020,17,3,2020,2,3,2020,21,313,17-3-2020,2020-03-17 00:00:00.000000002,0-15days
34,200706844,2020.0,1930773419.0,2020-04-07 00:00:00.000000000,33947.85,65,7,4,2020,22,4,2020,7,4,2020,21,3039,22-4-2020,2020-04-22 00:00:00.000000002,0-15days
35,200793830,2020.0,1930767747.0,2020-04-08 00:00:00.000000000,4537.14,65,8,4,2020,23,4,2020,8,4,2020,21,1696,23-4-2020,2020-04-23 00:00:00.000000001,0-15days
36,200769623,2020.0,1930750455.0,2020-04-06 00:00:00.000000000,14355.96,65,6,4,2020,21,4,2020,6,4,2020,34,2981,21-4-2020,2020-04-20 23:59:59.999999998,0-15days
37,200769623,2020.0,1930738904.0,2020-04-03 00:00:00.000000000,367.71,65,3,4,2020,18,4,2020,3,4,2020,34,2984,18-4-2020,2020-04-17 23:59:59.999999998,0-15days
38,200769623,2020.0,1930862467.0,2020-05-06 00:00:00.000000000,56284.77,65,6,5,2020,21,5,2020,6,5,2020,34,2985,21-5-2020,2020-05-20 23:59:59.999999998,0-15days
39,200769623,2020.0,1930582162.0,2020-02-29 00:00:00.000000000,50493.86,65,29,2,2020,15,3,2020,29,2,2020,34,2984,15-3-2020,2020-03-14 23:59:59.999999998,0-15days
40,200769623,2020.0,1930802490.0,2020-04-21 00:00:00.000000000,15489.43,65,21,4,2020,6,5,2020,21,4,2020,34,2983,6-5-2020,2020-06-04 23:59:59.999999998,0-15days
41,140104423,2020.0,2960617050.0,2020-02-27 00:00:00.000000000,93179.35199999998,65,27,2,2020,11,3,2020,1,3,2020,5,1862,11-3-2020,2020-11-03 00:00:00.000000000,0-15days
42,200726979,2020.0,1930801417.0,2020-04-19 00:00:00.000000000,360.33,65,19,4,2020,4,5,2020,19,4,2020,21,317,4-5-2020,2020-04-05 00:00:00.000000002,0-15days
43,200743996,2020.0,1930660304.0,2020-03-16 00:00:00.000000000,3826.03,65,16,3,2020,20,5,2020,16,3,2020,33,2603,20-5-2020,2020-05-19 23:59:59.999999991,0-15days
44,200752302,2020.0,1930733767.0,2020-04-02 00:00:00.000000000,96674.05,65,2,4,2020,17,4,2020,2,4,2020,21,1584,17-4-2020,2020-04-17 00:00:00.000000000,0-15days
45,140105686,2020.0,2960633120.0,2020-05-06 00:00:00.000000000,43230.299,65,6,5,2020,18,5,2020,8,5,2020,5,2697,18-5-2020,2020-05-18 00:00:00.000000001,0-15days
46,200711029,2020.0,1930742932.0,2020-04-03 00:00:00.000000000,14382.22,65,3,4,2020,18,4,2020,3,4,2020,21,3006,18-4-2020,2020-04-18 00:00:00.000000005,0-15days
47,2001,2020.0,2960622220.0,2020-03-20 00:00:00.000000000,17828.068999999996,65,20,3,2020,27,4,2020,23,3,2020,32,1518,27-4-2020,2020-04-27 00:00:00.000000009,0-15days
48,200769623,2020.0,1930804924.0,2020-04-21 00:00:00.000000000,35509.95,65,21,4,2020,6,5,2020,21,4,2020,34,2983,6-5-2020,2020-06-04 23:59:59.999999998,0-15days
49,200769623,2020.0,1930746955.0,2020-04-05 00:00:00.000000000,13512.61,65,5,4,2020,20,4,2020,5,4,2020,34,2977,20-4-2020,2020-04-19 23:59:59.999999999,0-15days
50,200772670,2020.0,1930698156.0,2020-03-24 00:00:00.000000000,24421.33,65,24,3,2020,8,4,2020,24,3,2020,47,177,8-4-2020,2020-08-04 00:00:00.000000000,0-15days
51,200769623,2020.0,1930801200.0,2020-04-19 00:00:00.000000000,11217.33,65,19,4,2020,4,5,2020,19,4,2020,34,2978,4-5-2020,2020-04-04 23:59:59.999999998,0-15days
